,ward_clus,업체명,경도,위도,주차장명,주차경도,주차위도,group,sum_2_y
116,30,(주)상현상사,37.5136307,127.0291575,신정7동 한사랑교회 앞,126.860059,37.514721,117.0,2.0209322912857126
117,30,(주)상현상사,37.5136307,127.0291575,우리,126.879154,37.53667100000001,118.0,2.4775473763521583
118,30,(주)상현상사,37.5136307,127.0291575,양천사회단체봉사센터,126.875401,37.53182329999999,119.0,2.4775473763521583
119,30,(주)상현상사,37.5136307,127.0291575,양평2동청사 공영주차장,126.885352,37.536396,120.0,2.4775473763521583
120,31,(주)수서에너지,37.4827957,127.1028258,당산노외,126.899395,37.526223,121.0,2.142320809927471
121,31,(주)수서에너지,37.4827957,127.1028258,영등포구청역,126.895153,37.524876,122.0,2.142320809927471
122,31,(주)수서에너지,37.4827957,127.1028258,신길1동공영주차장,126.918608,37.510226,123.0,1.9734578568677663
123,31,(주)수서에너지,37.4827957,127.1028258,경부제3녹지 공영주차장,126.923185,37.513329,124.0,1.9734578568677663
124,32,복지상일충전소,37.5450485,127.1675848,도림초교공영주차장,126.907033,37.50796,125.0,1.997157489910032
125,32,복지상일충전소,37.5450485,127.1675848,신길5동공영주차장,126.904818,37.502098,126.0,1.6911607968304394
126,32,복지상일충전소,37.5450485,127.1675848,신길6동공영주차장,126.91133700000002,37.50262100000001,127.0,2.009295786879326
127,32,복지상일충전소,37.5450485,127.1675848,대림운동장공영주차장,126.89481,37.499611,128.0,2.2687089407361443
128,33,신림충전소,37.4735388,126.9319687,영등포본동제1 공영주차장,126.909151,37.514358,129.0,2.18783981658982
129,33,신림충전소,37.4735388,126.9319687,영등포동제2 공영주차장,126.908556,37.523736,130.0,2.500831077734249
130,33,신림충전소,37.4735388,126.9319687,신길환승(5호선)공영주차장,126.914663,37.517666,131.0,2.500831077734249
131,33,신림충전소,37.4735388,126.9319687,도림동 공영주차장,126.896694,37.508188,132.0,2.022259971477146
132,34,둔촌충전소,37.5252332,127.1444095,한강진역,127.002074,37.539028,133.0,1.842044881418781
133,34,둔촌충전소,37.5252332,127.1444095,갈현1동 공영주차장,126.915337,37.626498,134.0,1.0634061162697843
134,34,둔촌충전소,37.5252332,127.1444095,구산동마을공원지하공영주차장,126.908474,37.614751,135.0,1.2436271689586271
135,34,둔촌충전소,37.5252332,127.1444095,서신초교지하공영주차장,126.906839,37.59231079999999,136.0,1.0367150025335363
136,35,(주)청학에너지,37.628133,127.04186509999998,연신중학교지하공영주차장,126.925099,37.623324,137.0,1.2754858252246215
137,35,(주)청학에너지,37.628133,127.04186509999998,응암3동 공영주차장,126.915289,37.593506,138.0,1.220909866862698
